headline,image,author name,url,subheader,premium,arcticle type
"Des manifestations dans toute l’Europe contre la « touristification » de certaines villes : « Je ne veux pas déménager, je veux avoir le droit d’habiter ici »",https://img.lemde.fr/2025/06/14/2/0/3692/2461/180/0/95/0/a547162_upload-1-unvoy8mggovf-000-36ju8fc.jpg,No author name found,,Now subheader found,yes,No article type found
Nucléaire : « Les ogres des données sont partis à la chasse aux électrons »,https://img.lemde.fr/2025/06/03/0/1/2997/1998/180/0/95/0/b0d0c7f_ftp-import-images-1-jo7tnuu5jelx-98277219af4f4d83a5240f40f6a9e594-0-eefa06f25fa649c08b5d91a45b637006.jpg,Isabelle Chaperon,,Now subheader found,yes,No article type found
"« Emporté dans le sillage de l’or, l’argent surperforme »",https://img.lemde.fr/2025/06/13/0/0/5700/3800/180/0/95/0/6bbd81c_upload-1-lsgvzrxzkarf-2023-09-16t083547z-1663181384-rc2u83azqsig-rtrmadp-3-global-precious.JPG,Laurence Girard,,Now subheader found,yes,No article type found
« L’océan reste le grand absent des stratégies d’entreprise alors que 40 % des emplois en France dépendent des milieux marins »,https://img.lemde.fr/2025/06/13/0/0/3000/2000/180/0/95/0/435f47b_upload-1-3klla19u0ang-frame-1280.jpg,Arnaud Florentin,,Now subheader found,yes,No article type found
"En Algérie, des femmes exposent leurs harceleurs de rue sur les réseaux sociaux",https://img.lemde.fr/2025/06/12/0/150/1620/1080/180/0/95/0/26bcfd5_upload-1-n3xfwybw3zrb-cover.jpg,No author name found,,Now subheader found,no,No article type found
A quoi servent les commissions d’enquête parlementaires ? Comprendre en trois minutes,https://img.lemde.fr/2025/06/13/282/0/540/360/180/0/95/0/033c045_upload-1-39cwmtwewdgm-lemondevv-20250612-t3.png,No author name found,,Now subheader found,no,No article type found
Les images de la riposte iranienne sur Israël,https://img.lemde.fr/2025/06/13/0/0/4092/2728/180/0/95/0/af34a96_ftp-import-images-1-5goqoes3jfki-008231c74ff04fce8003671210c4a0f3-0-bb645623d6794a07bfef543f19193230.jpg,No author name found,,Now subheader found,no,No article type found
Ukraine : ce que l’on sait de l’attaque de drones inédite lancée contre des bases russes,https://img.lemde.fr/2025/06/02/320/0/960/640/180/0/95/0/b7cba4d_ftp-import-images-1-1ugaq6pjy6as-5079562-01-06.jpg,No author name found,,Now subheader found,no,No article type found
Editorial du « Monde » : le choix de la guerre et de ses risques,https://img.lemde.fr/2025/06/14/0/0/5290/3527/180/0/95/0/00dcce4_upload-1-jtw1tnn1dsj1-423859.jpg,No author name found,,Now subheader found,no,No article type found
« Ce n’est pas dans la culture de l’armée américaine de participer aux opérations de maintien de l’ordre »,https://img.lemde.fr/2025/05/29/0/0/3000/2000/180/0/95/0/1800b0a_sirius-fs-upload-1-il8f32ndj6au-1748529964111-frame-178.jpg,No author name found,,Now subheader found,yes,No article type found
IA : « Les robots peuvent-ils battre les loups de Wall Street ? »,https://img.lemde.fr/2025/06/13/0/0/7582/5054/180/0/95/0/7030d23_upload-1-xurii7svjf3i-415270.jpg,Isabelle Chaperon,,Now subheader found,yes,No article type found
"« Retarder de quelques années l’avancée du nucléaire iranien est un succès, mais cela ne peut être l’objectif final d’une politique de sécurité durable »",https://img.lemde.fr/2025/06/14/26/0/2050/1366/180/0/95/0/9fe7393_upload-1-zcalmsagvqif-523581.jpg,Benjamin Hautecouverture,,Now subheader found,yes,No article type found
"Aux cinémas Dulac, un climat délétère",https://img.lemde.fr/2025/06/12/0/0/4500/3000/180/0/95/0/c207273_upload-1-yj2lsqh2wgth-000-36ww9nr.jpg,No author name found,,Now subheader found,yes,No article type found
